DD	EDSS.0.0	EDSS.1.0	EDSS.1.5	EDSS.2.0	EDSS.2.5	EDSS.3.0	EDSS.3.5	EDSS.4.0	EDSS.4.5	EDSS.5.0	EDSS.5.5	EDSS.6.0	EDSS.6.5	EDSS.7.0	EDSS.7.5	EDSS.8.0
1	1.41	4.03	6.09	7.75	8.78	9.29	9.70	9.86	9.90	NA	9.92	9.94	NA	NA	9.98	NA
2	1.58	4.47	6.58	8.00	8.91	9.46	9.77	9.88	NA	9.93	9.94	NA	NA	NA	9.97	NA
3	1.38	4.05	6.43	8.20	9.13	9.51	9.78	9.93	NA	NA	NA	NA	9.98	NA	NA	NA
4	1.34	3.96	6.26	8.09	9.11	9.43	9.68	9.84	NA	NA	NA	9.93	NA	NA	NA	NA
5	1.18	3.71	6.08	7.86	8.95	9.39	9.61	9.76	NA	9.84	NA	9.91	NA	9.97	NA	NA
6	1.22	3.61	5.91	7.92	8.92	9.23	9.58	9.75	9.83	NA	NA	9.90	NA	9.96	NA	NA
7	1.17	3.55	5.67	7.40	8.52	9.11	9.58	9.83	9.94	NA	NA	NA	NA	NA	NA	NA
8	1.23	3.32	5.11	6.90	8.13	8.77	9.22	9.51	9.70	NA	NA	9.81	9.93	NA	NA	NA
9	1.29	3.54	5.45	7.02	7.98	8.60	9.10	9.49	NA	NA	NA	9.78	9.89	NA	NA	NA
10	1.41	3.59	5.49	7.32	8.38	9.01	9.44	9.65	NA	NA	NA	NA	9.86	NA	NA	NA
11	1.63	4.19	6.28	8.02	8.84	9.19	NA	9.54	9.77	NA	NA	NA	NA	NA	NA	NA
12	1.32	3.53	5.74	7.35	8.24	8.82	9.26	9.71	NA	NA	NA	NA	NA	NA	NA	NA
13	0.95	2.62	5.00	6.67	7.62	9.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	1.11	3.06	5.28	6.94	8.06	8.89	9.44	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	0.83	1.94	3.89	NA	5.83	6.94	7.78	8.89	NA	NA	NA	NA	NA	NA	NA	NA
